index,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,rating,playtime,ratings_count,game_series_count,platforms
0,Wii Sports,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45,82.54,4.19,55,174,1,Wii
1,Super Mario Bros.,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,4.27,30,498,17,SNES||Nintendo Switch||Game Boy Advance||Game Boy Color||NES||Wii U||Wii||Nintendo 3DS
2,Super Mario Bros.,1999.0,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,4.27,30,498,17,SNES||Nintendo Switch||Game Boy Advance||Game Boy Color||NES||Wii U||Wii||Nintendo 3DS
3,Mario Kart Wii,2008.0,Racing,Nintendo,15.68,12.8,3.79,3.29,35.57,4.26,12,204,10,Wii
4,Wii Sports Resort,2009.0,Sports,Nintendo,15.61,10.95,3.28,2.95,32.78,4.17,2,89,1,Wii
5,New Super Mario Bros.,2006.0,Platform,Nintendo,11.28,9.15,6.5,2.88,29.81,4.13,25,179,19,Wii U||Nintendo DS
6,Wii Play,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,3.36,0,46,0,Wii
7,New Super Mario Bros. Wii,2009.0,Platform,Nintendo,14.48,6.95,4.7,2.25,28.38,3.99,12,173,17,Wii
8,Duck Hunt,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,0.0,0,0,0,PC
9,Mario Kart DS,2005.0,Racing,Nintendo,9.71,7.48,4.13,1.9,23.22,4.23,5,182,10,Nintendo DS||Wii U
10,Wii Fit,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,3.81,0,36,0,Wii
11,Kinect Adventures!,2010.0,Misc,Microsoft Game Studios,15.02,4.91,0.24,1.69,21.86,3.14,0,22,0,Xbox 360
12,Wii Fit Plus,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,3.59,0,16,0,Wii
13,Grand Theft Auto V,2013.0,Action,Take-Two Interactive,7.02,9.14,0.98,3.97,21.12,4.48,69,4289,9,PC||Xbox Series S/X||PlayStation 5||PlayStation 4||PlayStation 3||Xbox 360||Xbox One
14,Grand Theft Auto V,2013.0,Action,Take-Two Interactive,9.66,5.17,0.06,1.41,16.3,4.48,69,4289,9,PC||Xbox Series S/X||PlayStation 5||PlayStation 4||PlayStation 3||Xbox 360||Xbox One
15,Grand Theft Auto V,2014.0,Action,Take-Two Interactive,4.12,6.77,0.39,2.08,13.36,4.48,69,4289,9,PC||Xbox Series S/X||PlayStation 5||PlayStation 4||PlayStation 3||Xbox 360||Xbox One
16,Grand Theft Auto V,2014.0,Action,Take-Two Interactive,2.93,2.32,0.0,0.49,5.74,4.48,69,4289,9,PC||Xbox Series S/X||PlayStation 5||PlayStation 4||PlayStation 3||Xbox 360||Xbox One
17,Grand Theft Auto V,2015.0,Action,Take-Two Interactive,0.4,0.74,0.0,0.09,1.23,4.48,69,4289,9,PC||Xbox Series S/X||PlayStation 5||PlayStation 4||PlayStation 3||Xbox 360||Xbox One
18,Grand Theft Auto: San Andreas,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,4.5,2,2183,9,Xbox||macOS||PC||iOS||Xbox One||Android||PlayStation 3||Xbox 360||PlayStation 2
19,Grand Theft Auto: San Andreas,2005.0,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,4.5,2,2183,9,Xbox||macOS||PC||iOS||Xbox One||Android||PlayStation 3||Xbox 360||PlayStation 2
20,Grand Theft Auto: San Andreas,2005.0,Action,Take-Two Interactive,0.0,0.93,0.0,0.04,0.97,4.5,2,2183,9,Xbox||macOS||PC||iOS||Xbox One||Android||PlayStation 3||Xbox 360||PlayStation 2
