Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Publisher,platforms,Years_of_Release,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
Wii Sports,41.36,28.96,3.77,8.45,82.54,Sports,Nintendo,1,11.0,0,0,0,0,0,0,0,0,0,0,1,0
Grand Theft Auto V,24.13,24.139999999999997,1.4300000000000002,8.040000000000001,57.75,Action,Take-Two Interactive,7,3.0,1,0,0,0,0,0,0,0,0,0,0,0
Super Mario Bros.,32.48,4.88,6.96,0.99,45.31,Platform,Nintendo,8,25.0,0,0,0,0,1,0,0,0,0,0,0,0
Mario Kart Wii,15.68,12.8,3.79,3.29,35.57,Racing,Nintendo,1,9.0,0,0,0,0,0,0,1,0,0,0,0,0
Wii Sports Resort,15.61,10.95,3.28,2.95,32.78,Sports,Nintendo,1,8.0,0,0,0,0,0,0,0,0,0,0,1,0
Call of Duty: Black Ops,17.61,9.37,0.59,3.32,30.89,Shooter,Activision,8,7.0,0,0,0,0,0,0,0,0,1,0,0,0
Call of Duty: Modern Warfare 3,15.560000000000002,11.17,0.62,3.3000000000000003,30.639999999999997,Shooter,Activision,7,6.0,0,0,0,0,0,0,0,0,1,0,0,0
New Super Mario Bros.,11.28,9.15,6.5,2.88,29.81,Platform,Nintendo,2,11.0,0,0,0,0,1,0,0,0,0,0,0,0
Call of Duty: Black Ops II,14.08,10.87,0.72,3.77,29.419999999999998,Shooter,Activision,5,5.0,0,0,0,0,0,0,0,0,1,0,0,0
Wii Play,13.96,9.18,2.93,2.84,28.92,Misc,Nintendo,1,11.0,0,0,0,1,0,0,0,0,0,0,0,0
New Super Mario Bros. Wii,14.48,6.95,4.7,2.25,28.38,Platform,Nintendo,1,8.0,0,0,0,0,1,0,0,0,0,0,0,0
Duck Hunt,26.93,0.63,0.28,0.47,28.31,Shooter,Nintendo,1,33.0,0,0,0,0,0,0,0,0,1,0,0,0
Call of Duty: Ghosts,14.969999999999999,8.91,0.48,3.0899999999999994,27.459999999999997,Shooter,Activision,6,4.0,0,0,0,0,0,0,0,0,1,0,0,0
Super Mario World,15.989999999999998,4.86,4.49,0.75,26.07,Platform,Nintendo,6,21.5,0,0,0,0,1,0,0,0,0,0,0,0
Minecraft,12.040000000000001,9.259999999999998,1.3299999999999998,3.06,25.69,Misc,Microsoft Game Studios,13,2.8,0,0,0,1,0,0,0,0,0,0,0,0
Minecraft,12.040000000000001,9.259999999999998,1.3299999999999998,3.06,25.69,Misc,Sony Computer Entertainment,13,2.8,0,0,0,1,0,0,0,0,0,0,0,0
Minecraft,12.040000000000001,9.259999999999998,1.3299999999999998,3.06,25.69,Misc,Sony Computer Entertainment Europe,13,2.8,0,0,0,1,0,0,0,0,0,0,0,0
